id,startup_id,vc_id,round_type,amount,date,valuation,lead_investor
investment_0,startup_1,vc_89,Seed,17930248,2015-04-19,161372232,True
investment_1,startup_2,vc_29,Series B,16051929,2023-03-27,529713657,True
investment_2,startup_2,vc_68,Seed,16051929,2023-03-27,481557870,False
investment_3,startup_2,vc_143,Series C,16051929,2023-03-27,481557870,False
investment_4,startup_2,vc_5,Series B,21578555,2012-08-23,86314220,True
investment_5,startup_3,vc_58,Pre-seed,22852062,2021-03-29,114260310,True
investment_6,startup_3,vc_18,Seed,3360763,2020-03-02,23525341,True
investment_7,startup_3,vc_78,Series B,4262417,2020-12-17,85248340,True
investment_8,startup_3,vc_113,Seed,4262417,2020-12-17,42624170,False
investment_9,startup_5,vc_38,Series A,8775160,2021-08-18,157952880,True
investment_10,startup_5,vc_93,Series B,8775160,2021-08-18,157952880,False
investment_11,startup_5,vc_51,Series C,8775160,2021-08-18,105301920,False
investment_12,startup_5,vc_69,Seed,8169836,2016-11-27,147057048,True
investment_13,startup_5,vc_31,Series A,8169836,2016-11-27,98038032,False
investment_14,startup_5,vc_23,Series A,11930301,2018-05-30,47721204,True
investment_15,startup_6,vc_137,Series C,865722,2025-05-19,31166004,True
investment_16,startup_6,vc_100,Pre-seed,865722,2025-05-19,23374503,False
investment_17,startup_6,vc_134,Series A,865722,2025-05-19,25971670,False
investment_18,startup_7,vc_46,Series B,8341541,2017-08-30,83415410,True
investment_19,startup_7,vc_97,Series A,8341541,2017-08-30,116781574,False
investment_20,startup_7,vc_128,Series B,10549647,2014-01-28,348138373,True
investment_21,startup_7,vc_63,Seed,10549647,2014-01-28,221542601,False
investment_22,startup_7,vc_87,Series B,10549647,2014-01-28,348138373,False
investment_23,startup_8,vc_62,Series C,23198211,2021-03-12,255180321,True
investment_24,startup_8,vc_23,Series C,24883135,2020-09-11,447896439,True
investment_25,startup_8,vc_141,Series C,24883135,2020-09-11,398130168,False
investment_26,startup_9,vc_30,Series C,8052114,2024-06-03,177146519,True
investment_27,startup_9,vc_65,Series A,8052114,2024-06-03,112729603,False
investment_28,startup_9,vc_85,Series A,10296106,2024-01-13,102961060,True
investment_29,startup_9,vc_18,Series C,15240814,2022-06-17,304816290,True
investment_30,startup_9,vc_8,Series A,15240814,2022-06-17,152408145,False
investment_31,startup_10,vc_93,Seed,3976125,2022-06-27,47713504,True
investment_32,startup_10,vc_85,Seed,3976125,2022-06-27,143140512,False
investment_33,startup_10,vc_114,Pre-seed,3976125,2022-06-27,119283760,False
investment_34,startup_10,vc_88,Series B,2975305,2023-12-15,23802440,True
investment_35,startup_11,vc_121,Series C,4348651,2025-02-17,69578424,True
investment_36,startup_11,vc_102,Series B,4348651,2025-02-17,86973030,False
investment_37,startup_12,vc_145,Series A,10558224,2024-04-15,84465796,True
investment_38,startup_12,vc_35,Series B,10558224,2024-04-15,211164490,False
investment_39,startup_12,vc_34,Pre-seed,28620546,2023-04-21,200343822,True
investment_40,startup_13,vc_44,Series C,9602224,2021-07-10,57613344,True
investment_41,startup_13,vc_70,Series C,11292170,2022-03-03,90337364,True
investment_42,startup_13,vc_31,Series C,11292170,2022-03-03,90337364,False
investment_43,startup_14,vc_92,Series B,12500484,2017-11-02,50001936,True
investment_44,startup_15,vc_108,Series A,9086882,2015-07-19,109042588,True
