startup_id,technology_id,usage_intensity,implementation_date
startup_0,tech_76,Supporting,2020-03-24
startup_0,tech_63,Core,2020-04-02
startup_0,tech_18,Supporting,2021-01-17
startup_0,tech_45,Important,2025-02-10
startup_0,tech_41,Important,2024-09-04
startup_0,tech_59,Supporting,2025-03-02
startup_1,tech_32,Supporting,2020-05-29
startup_1,tech_56,Important,2018-01-11
startup_1,tech_1,Supporting,2024-07-19
startup_1,tech_69,Core,2016-10-26
startup_1,tech_4,Supporting,2012-04-02
startup_1,tech_11,Core,2020-04-22
startup_2,tech_55,Supporting,2018-09-03
startup_2,tech_9,Important,2019-08-08
startup_2,tech_74,Important,2021-10-17
startup_2,tech_23,Core,2021-05-06
startup_2,tech_4,Supporting,2020-05-26
startup_2,tech_6,Supporting,2022-05-20
startup_2,tech_41,Supporting,2019-06-19
startup_3,tech_8,Important,2021-09-03
startup_3,tech_42,Important,2023-12-19
startup_3,tech_11,Core,2023-04-19
startup_3,tech_65,Important,2024-11-12
startup_3,tech_56,Supporting,2024-06-24
startup_3,tech_77,Core,2021-07-19
startup_3,tech_9,Core,2023-07-02
startup_3,tech_32,Core,2024-07-17
startup_4,tech_27,Core,2023-05-04
startup_4,tech_28,Core,2018-09-30
startup_4,tech_67,Important,2017-03-03
startup_4,tech_78,Core,2020-04-02
startup_4,tech_55,Supporting,2019-12-18
startup_4,tech_5,Important,2025-02-03
startup_5,tech_41,Important,2019-01-06
startup_5,tech_28,Core,2014-01-03
startup_5,tech_14,Core,2021-05-12
startup_6,tech_57,Core,2025-04-27
startup_6,tech_6,Core,2025-05-18
startup_6,tech_70,Core,2025-05-12
startup_6,tech_20,Core,2025-05-10
startup_6,tech_50,Core,2025-04-27
startup_7,tech_45,Core,2012-11-02
startup_7,tech_19,Supporting,2013-12-23
startup_7,tech_52,Important,2016-12-03
startup_7,tech_61,Important,2016-07-10
startup_8,tech_59,Important,2019-10-12
startup_8,tech_40,Core,2022-05-13
startup_8,tech_48,Important,2021-10-04
startup_8,tech_46,Core,2023-10-08
startup_8,tech_61,Important,2023-01-24
startup_9,tech_70,Core,2018-01-23
startup_9,tech_12,Important,2019-04-12
startup_9,tech_52,Supporting,2020-03-10
startup_9,tech_37,Supporting,2018-07-17
startup_9,tech_43,Important,2022-07-21
startup_9,tech_50,Supporting,2018-01-13
startup_10,tech_24,Supporting,2017-01-09
startup_10,tech_61,Important,2024-08-01
startup_10,tech_59,Important,2023-10-17
startup_11,tech_15,Important,2021-07-23
startup_11,tech_6,Core,2021-12-16
startup_11,tech_68,Important,2025-02-09
startup_11,tech_58,Supporting,2023-11-24
startup_11,tech_26,Important,2022-12-08
startup_12,tech_41,Core,2024-03-11
startup_12,tech_24,Core,2025-03-30
startup_12,tech_43,Important,2024-08-26
startup_12,tech_58,Supporting,2024-06-10
startup_12,tech_76,Core,2024-11-16
startup_12,tech_36,Supporting,2023-11-03
startup_12,tech_74,Important,2023-06-21
startup_13,tech_63,Supporting,2018-05-22
startup_13,tech_38,Core,2022-10-27
startup_13,tech_7,Core,2021-03-20
startup_13,tech_31,Supporting,2024-02-19
startup_13,tech_6,Core,2020-11-10
startup_13,tech_43,Important,2022-10-25
startup_14,tech_11,Important,2024-10-20
startup_14,tech_67,Important,2023-02-05
startup_14,tech_13,Important,2014-05-17
startup_15,tech_74,Important,2014-02-13
startup_15,tech_69,Core,2019-10-01
startup_15,tech_76,Supporting,2023-10-28
startup_16,tech_1,Core,2023-09-03
startup_16,tech_63,Supporting,2022-09-21
startup_16,tech_7,Supporting,2025-02-10
startup_16,tech_32,Important,2022-12-17
startup_16,tech_78,Core,2020-12-15
startup_16,tech_5,Important,2023-03-23
startup_16,tech_15,Supporting,2024-04-09
startup_16,tech_58,Important,2021-04-14
startup_17,tech_4,Core,2024-10-18
startup_17,tech_12,Supporting,2025-01-31
startup_17,tech_47,Supporting,2025-02-15
startup_17,tech_74,Important,2025-05-11
startup_18,tech_27,Core,2020-02-20
startup_18,tech_19,Supporting,2017-09-03
startup_18,tech_25,Supporting,2024-10-30
startup_18,tech_41,Core,2020-07-04
startup_18,tech_7,Core,2016-04-08
startup_18,tech_20,Supporting,2023-12-10
startup_18,tech_67,Core,2015-01-27
startup_18,tech_47,Important,2023-08-10
startup_19,tech_5,Supporting,2025-05-27
startup_19,tech_12,Core,2025-04-20
startup_19,tech_31,Core,2025-05-20
startup_19,tech_8,Important,2024-12-23
startup_19,tech_28,Core,2025-03-30
startup_19,tech_46,Core,2025-04-22
startup_20,tech_42,Core,2015-07-12
startup_20,tech_35,Supporting,2024-11-25
startup_20,tech_63,Supporting,2012-09-19
startup_20,tech_40,Supporting,2019-10-06
startup_20,tech_72,Supporting,2015-11-01
startup_21,tech_51,Supporting,2017-02-10
startup_21,tech_54,Supporting,2019-12-16
startup_21,tech_72,Supporting,2023-04-21
startup_21,tech_77,Supporting,2021-10-23
startup_22,tech_47,Core,2024-10-09
startup_22,tech_54,Core,2022-03-03
startup_22,tech_61,Supporting,2022-08-25
startup_22,tech_41,Important,2024-08-04
startup_22,tech_56,Supporting,2023-04-09
startup_22,tech_2,Core,2024-08-27
startup_23,tech_43,Core,2021-09-28
startup_23,tech_28,Supporting,2024-01-29
startup_23,tech_5,Core,2020-11-10
startup_23,tech_4,Core,2019-06-30
startup_23,tech_20,Supporting,2023-08-05
startup_24,tech_48,Important,2016-11-19
startup_24,tech_59,Important,2022-08-03
startup_24,tech_45,Supporting,2014-04-06
startup_24,tech_54,Core,2019-12-10
startup_24,tech_26,Supporting,2022-07-13
startup_24,tech_47,Important,2016-08-03
startup_24,tech_0,Supporting,2024-02-25
startup_25,tech_21,Core,2023-11-18
startup_25,tech_67,Supporting,2021-07-20
startup_25,tech_71,Core,2020-10-31
startup_25,tech_48,Core,2019-03-26
startup_26,tech_54,Core,2017-12-25
startup_26,tech_34,Supporting,2024-02-22
startup_26,tech_67,Important,2020-12-07
startup_26,tech_62,Core,2022-03-30
startup_26,tech_51,Core,2025-04-17
startup_26,tech_18,Important,2021-05-29
startup_26,tech_37,Important,2023-06-25
startup_26,tech_31,Core,2016-03-08
startup_27,tech_63,Core,2021-03-02
startup_27,tech_23,Important,2025-05-04
startup_27,tech_75,Important,2017-10-05
startup_28,tech_52,Important,2018-06-24
startup_28,tech_39,Core,2017-04-02
startup_28,tech_77,Important,2013-10-05
startup_28,tech_32,Supporting,2017-01-22
startup_28,tech_35,Supporting,2013-12-28
startup_28,tech_45,Supporting,2017-09-19
startup_29,tech_20,Core,2020-02-17
startup_29,tech_13,Important,2024-10-24
startup_29,tech_12,Supporting,2023-09-04
startup_30,tech_48,Core,2025-04-04
startup_30,tech_42,Important,2025-03-09
startup_30,tech_51,Core,2025-05-14
startup_31,tech_64,Important,2025-05-19
startup_31,tech_71,Supporting,2025-01-18
startup_31,tech_21,Supporting,2024-08-25
startup_31,tech_61,Important,2025-04-26
startup_31,tech_8,Important,2024-03-05
startup_31,tech_38,Important,2024-04-18
startup_31,tech_40,Supporting,2024-07-27
startup_32,tech_2,Important,2021-08-12
startup_32,tech_4,Core,2021-12-19
startup_32,tech_57,Important,2022-09-13
startup_32,tech_17,Core,2025-02-20
startup_32,tech_77,Supporting,2023-06-09
startup_32,tech_53,Core,2023-10-18
startup_33,tech_76,Supporting,2017-11-26
startup_33,tech_35,Important,2015-01-04
startup_33,tech_53,Supporting,2024-03-01
startup_33,tech_14,Supporting,2022-03-12
startup_33,tech_78,Important,2023-08-25
startup_33,tech_47,Supporting,2018-12-09
