id,name,category,popularity_score,maturity
tech_0,React,frontend,0.7691960056445604,growing
tech_1,Vue.js,frontend,0.9943072113423851,legacy
tech_2,Angular,frontend,0.9365381913006857,growing
tech_3,Svelte,frontend,0.5612002204745015,growing
tech_4,Next.js,frontend,0.584522858551159,growing
tech_5,Node.js,backend,0.12198526109648918,emerging
tech_6,Python,backend,0.3593624239105757,mature
tech_7,Java,backend,0.2999587561051549,emerging
tech_8,Go,backend,0.6981518925360373,legacy
tech_9,Ruby,backend,0.8150654501148169,legacy
tech_10,C#,backend,0.580734284535839,mature
tech_11,PostgreSQL,database,0.2940967617275585,growing
tech_12,MongoDB,database,0.7862890362766015,growing
tech_13,MySQL,database,0.4776046140909834,emerging
tech_14,Redis,database,0.6473311568734111,emerging
tech_15,Elasticsearch,database,0.9674056948254619,mature
tech_16,AWS,cloud,0.2461792175402786,legacy
tech_17,Google Cloud,cloud,0.9414482669735021,growing
tech_18,Azure,cloud,0.9641364694238999,legacy
tech_19,Heroku,cloud,0.8275006798623628,emerging
tech_20,Vercel,cloud,0.6068358389494822,legacy
tech_21,TensorFlow,ai_ml,0.11602410436208743,emerging
tech_22,PyTorch,ai_ml,0.4184553238894283,emerging
tech_23,scikit-learn,ai_ml,0.9178775912786697,growing
tech_24,OpenAI API,ai_ml,0.13225600977503618,legacy
tech_25,Hugging Face,ai_ml,0.8341539686939506,growing
tech_26,React Native,mobile,0.9301153150912587,emerging
tech_27,Flutter,mobile,0.9076080580773447,growing
tech_28,Swift,mobile,0.8338065303850135,mature
tech_29,Kotlin,mobile,0.12137467845963032,legacy
tech_30,Ionic,mobile,0.1161985813523033,legacy
tech_31,MaxDB,mobile,0.4102316321946537,emerging
tech_32,HyperDB,ai_ml,0.3854233947002778,growing
tech_33,ProLink,mobile,0.204633520625216,growing
tech_34,ProFlow,cloud,0.05504607151311698,emerging
tech_35,NeoLink,ai_ml,0.675032634449974,emerging
tech_36,NeoFlow,backend,0.5223847898936094,growing
tech_37,ProFlow,ai_ml,0.5269991527380355,growing
tech_38,ProSync,ai_ml,0.6710121048323276,emerging
tech_39,HyperDB,mobile,0.06232983878892119,emerging
tech_40,UltraLink,cloud,0.15164023772729002,emerging
tech_41,MaxFlow,cloud,0.5678861708045531,growing
tech_42,ProSync,cloud,0.5628682890728156,emerging
tech_43,MaxDB,frontend,0.6766095044134582,growing
tech_44,MaxAPI,database,0.6814166488171379,growing
tech_45,MaxFlow,frontend,0.40578103577153435,growing
tech_46,UltraSync,cloud,0.6254121725711155,emerging
tech_47,NeoDB,cloud,0.3219311207365103,emerging
tech_48,MaxFlow,backend,0.47017338462505326,emerging
tech_49,MaxLink,mobile,0.23032568647908996,growing
tech_50,MaxAPI,ai_ml,0.4102144826305351,growing
tech_51,HyperAPI,ai_ml,0.21422184530811328,emerging
tech_52,MaxLink,frontend,0.607667022992986,emerging
tech_53,ProAPI,database,0.7968058426777455,emerging
tech_54,HyperDB,database,0.5046664775465954,growing
tech_55,UltraLink,database,0.24655955432583565,emerging
tech_56,ProAPI,backend,0.7658485288608151,growing
tech_57,HyperLink,ai_ml,0.4550174438970814,emerging
tech_58,NeoFlow,backend,0.3827838046769642,emerging
tech_59,UltraDB,cloud,0.1974513532659164,emerging
tech_60,UltraLink,cloud,0.3441523031506629,growing
tech_61,MaxSync,frontend,0.2564019680510508,growing
tech_62,ProSync,frontend,0.1097142359802165,emerging
tech_63,HyperDB,backend,0.3812985613580489,growing
tech_64,NeoSync,database,0.5788993282404906,emerging
tech_65,MaxLink,database,0.6292334979750533,growing
tech_66,NeoFlow,mobile,0.09250314228915103,emerging
tech_67,NeoAPI,frontend,0.34247848704238887,emerging
tech_68,ProFlow,backend,0.21326652068639584,emerging
tech_69,MaxFlow,cloud,0.6625937157426016,emerging
tech_70,MaxFlow,ai_ml,0.6486232123746198,growing
tech_71,HyperDB,cloud,0.37972685881479107,growing
tech_72,ProAPI,frontend,0.059086219050117,growing
tech_73,MaxAPI,mobile,0.6573154350022005,emerging
tech_74,ProSync,mobile,0.36380230029023886,growing
tech_75,UltraAPI,backend,0.6781992575815354,emerging
tech_76,ProAPI,cloud,0.5134346150102458,emerging
tech_77,HyperFlow,frontend,0.45274128356175564,growing
tech_78,ProSync,backend,0.565729396766121,growing
tech_79,UltraLink,frontend,0.17879179543716578,emerging
