id,name,location,founded_year,aum,investment_stage,focus_industries,geographic_focus,check_size_min,check_size_max,portfolio_size
vc_0,Williams Ventures,Philadelphia,1997,662000000,Seed,"['MarTech', 'HRTech']",Global,414000,29000000,101
vc_1,York Capital,Austin,2018,2379000000,Series B,"['AgriTech', 'IoT', 'MarTech', 'Blockchain', 'InsurTech', 'PropTech']",International,364000,10000000,37
vc_2,Miller Ventures,Washington DC,2011,2166000000,Pre-seed,"['E-commerce', 'Cybersecurity', 'AI/ML', 'MarTech', 'CleanTech', 'HRTech']",East Coast,325000,40000000,73
vc_3,Williams Fund,Austin,1991,4236000000,Series A,"['AgriTech', 'SaaS', 'AI/ML', 'FinTech', 'E-commerce']",International,290000,2000000,24
vc_4,Casey Labs,Austin,2005,3476000000,Series B,"['FinTech', 'LegalTech']",International,447000,48000000,21
vc_5,Henderson Partners,Seattle,1987,4146000000,Series B,"['HRTech', 'Blockchain', 'HealthTech', 'MarTech']",Global,410000,46000000,168
vc_6,Jones Ventures,Seattle,1998,2948000000,Series B,"['Blockchain', 'FoodTech', 'E-commerce', 'LegalTech']",Global,236000,35000000,177
vc_7,Data Capital,Boston,2016,2792000000,Multi-stage,"['CleanTech', 'Blockchain']",US,177000,42000000,165
vc_8,Mcguire Equity,Phoenix,1987,516000000,Seed,"['FoodTech', 'SaaS', 'IoT', 'PropTech']",Global,368000,21000000,102
vc_9,Founders Taylor,Portland,2014,3826000000,Series A,"['MarTech', 'CleanTech', 'Gaming', 'Blockchain']",International,304000,21000000,88
vc_10,Fusion Capital,New York,2005,3423000000,Series B,"['SaaS', 'IoT']",US,130000,34000000,190
vc_11,Cyber Ventures,Boston,1987,340000000,Series B,"['LegalTech', 'SaaS']",US,224000,2000000,40
vc_12,Obrien Capital,Atlanta,1985,3475000000,Growth,"['IoT', 'CleanTech', 'LegalTech', 'HealthTech', 'InsurTech', 'FinTech']",US,128000,1000000,194
vc_13,Founders Ellis,Boston,2012,3826000000,Series B,"['AgriTech', 'LegalTech', 'FinTech', 'MarTech', 'SaaS', 'IoT']",West Coast,377000,46000000,158
vc_14,Jones Capital,New York,2017,743000000,Seed,"['HealthTech', 'FinTech', 'Blockchain', 'HRTech', 'Gaming']",East Coast,443000,23000000,103
vc_15,Johnson Capital,Austin,2005,2039000000,Multi-stage,"['FinTech', 'HRTech', 'HealthTech']",East Coast,148000,38000000,162
vc_16,Rapid Capital,Portland,1994,4496000000,Series A,"['SaaS', 'AgriTech', 'Blockchain']",US,199000,49000000,178
vc_17,Hart Ventures,Atlanta,1984,3642000000,Series A,"['AI/ML', 'E-commerce', 'Blockchain', 'HealthTech', 'FoodTech', 'InsurTech']",Global,215000,31000000,102
vc_18,Smart Partners,Denver,1999,4872000000,Pre-seed,"['MarTech', 'AgriTech', 'AI/ML']",International,470000,17000000,93
vc_19,Coffey Capital,Denver,1982,202000000,Pre-seed,"['IoT', 'SaaS', 'FoodTech', 'HealthTech']",Global,407000,8000000,59
vc_20,Apex Partners,New York,2003,3866000000,Series A,"['AgriTech', 'CleanTech', 'Blockchain']",Global,98000,27000000,183
vc_21,Meta Ventures,Portland,2012,2687000000,Seed,"['Blockchain', 'InsurTech', 'AgriTech']",East Coast,316000,7000000,120
vc_22,Johnson Capital,Nashville,1996,4648000000,Series B,"['IoT', 'Gaming', 'Blockchain', 'MarTech', 'LegalTech', 'EdTech']",US,42000,50000000,94
